Participant;Timestamp;Activity;Valence;Arousal;Dominance;Progress;Status;Notes
p8;1568807591;;;;;;POPUP_OPENED;
p8;1568807616;Coding;3;3;3;Average;POPUP_CLOSED;
p8;1568808098;;;;;;POPUP_OPENED;
p8;1568808114;Coding;3;3;3;Average;POPUP_CLOSED;
p8;1568811716;;;;;;POPUP_OPENED;
p8;1568811724;Coding;3;3;3;Average;POPUP_CLOSED;
p8;1568815327;;;;;;POPUP_OPENED;
p8;1568815335;Coding;3;3;3;Average;POPUP_CLOSED;
p8;1568872758;;;;;;POPUP_OPENED;
p8;1568872769;Just arrived;3;3;3;Average;POPUP_CLOSED;
p8;1568876373;;;;;;POPUP_OPENED;
p8;1568876381;Coding;3;3;3;Average;POPUP_CLOSED;
p8;1568879983;;;;;;POPUP_OPENED;
p8;1568879993;Coding;3;3;3;Average;POPUP_CLOSED;
p8;1568883595;;;;;;POPUP_OPENED;
p8;1568883626;Coding;3;2;3;Average;POPUP_CLOSED;
p8;1568887229;;;;;;POPUP_OPENED;
p8;1568887238;Coding;3;3;3;Average;POPUP_CLOSED;
p8;1568890860;;;;;;POPUP_OPENED;
p8;1568890867;Coding;3;3;3;Average;POPUP_CLOSED;
p8;1568894469;;;;;;POPUP_OPENED;
p8;1568894477;Coding;3;3;3;Average;POPUP_CLOSED;
p8;1568898087;;;;;;POPUP_OPENED;
p8;1568898095;Coding;3;3;3;Average;POPUP_CLOSED;
p8;1568901822;;;;;;POPUP_OPENED;
p8;1568901830;Coding;3;3;3;Average;POPUP_CLOSED;
p8;1568959050;;;;;;POPUP_OPENED;
p8;1568959065;Just arrived;3;3;3;Average;POPUP_CLOSED;
p8;1568962669;;;;;;POPUP_OPENED;
p8;1568962677;Coding;3;3;3;Average;POPUP_CLOSED;
p8;1568966391;;;;;;POPUP_OPENED;
p8;1568966399;Coding;3;3;3;Average;POPUP_CLOSED;
p9;1569219689;;;;;;POPUP_OPENED;
p9;1569219717;Just arrived;4;3;3;Average;POPUP_CLOSED;
p9;1569223380;;;;;;POPUP_OPENED;
p9;1569223435;Coding;3;4;3;Average;POPUP_CLOSED; setup customer project from library but a lot of things disturbing process
p9;1569227062;;;;;;POPUP_OPENED;
p9;1569227081;Coding;4;4;4;Above average;POPUP_CLOSED;
p9;1569230719;;;;;;POPUP_OPENED;
p9;1569230728;Coding;4;3;4;Above average;POPUP_CLOSED;
p9;1569305486;;;;;;POPUP_OPENED;
p9;1569305548;Other;3;3;3;Average;POPUP_CLOSED;
p9;1569307212;;;;;;POPUP_OPENED;
p9;1569307226;Just arrived;4;3;4;Average;POPUP_CLOSED;
